filename,volume_rate(%),duration(s),memory(KB)
br04_069.json,79.73,0.018,1272
br04_070.json,77.26,0.005,1136
br04_071.json,78.43,0.011,1236
br04_072.json,85.08,0.013,1176
br04_073.json,78.99,0.005,1184
br04_074.json,81.48,0.002,1068
br04_075.json,82.03,0.010,1276
br04_076.json,83.82,0.010,1160
br04_077.json,83.79,0.020,1368
br04_078.json,82.27,0.011,1268
br04_079.json,85.35,0.033,1468
br04_080.json,77.88,0.004,1180
br04_081.json,79.02,0.006,1108
br04_082.json,82.16,0.012,1236
br04_083.json,80.99,0.012,1192
br04_084.json,85.06,0.005,1116
br04_085.json,87.74,0.007,1196
br04_086.json,83.92,0.017,1256
br04_087.json,83.32,0.005,1208
br04_088.json,75.90,0.021,1188
br04_089.json,79.35,0.004,1184
br04_090.json,80.95,0.005,1096
br04_091.json,87.95,0.011,1216
br04_092.json,86.49,0.005,1124
br04_093.json,78.86,0.004,1100
br04_094.json,86.57,0.015,1176
br04_095.json,79.44,0.018,1340
br04_096.json,85.79,0.013,1252
br04_097.json,84.11,0.012,1240
br04_098.json,81.47,0.009,1060
br04_099.json,85.36,0.013,1224
br04_100.json,88.25,0.019,1276
br05_001.json,78.37,0.002,1160
br05_002.json,85.09,0.011,1180
br05_003.json,75.75,0.014,1160
br05_004.json,82.66,0.016,1188
br05_005.json,86.59,0.007,1200
br05_006.json,83.44,0.016,1132
br05_007.json,80.02,0.012,1176
br05_008.json,74.28,0.004,1116
br05_009.json,81.38,0.011,1240
br05_010.json,82.65,0.016,1136
br05_011.json,83.75,0.018,1328
br05_012.json,77.48,0.004,1144
br05_013.json,88.70,0.026,1312
br05_014.json,86.70,0.012,1168
br05_015.json,80.54,0.010,1140
br05_016.json,78.52,0.007,1100
br05_017.json,83.03,0.011,1164
br05_018.json,81.93,0.006,1092
br05_019.json,84.75,0.021,1240
br05_020.json,82.53,0.009,1168
br05_021.json,85.25,0.005,1212
br05_022.json,82.94,0.004,1084
br05_023.json,87.08,0.007,1300
br05_024.json,81.05,0.008,1152
br05_025.json,75.03,0.014,1208
br05_026.json,79.13,0.009,1272
br05_027.json,85.91,0.004,1212
br05_028.json,80.87,0.015,1272
br05_029.json,82.20,0.008,1192
br05_030.json,85.41,0.016,1172
br05_031.json,72.15,0.016,1244
br05_032.json,81.84,0.016,1212
br05_033.json,82.90,0.008,1236
br05_034.json,85.48,0.007,1124
br05_035.json,85.69,0.015,1252
br05_036.json,86.56,0.009,1172
br05_037.json,83.32,0.009,1184
br05_038.json,79.37,0.011,1156
br05_039.json,81.61,0.024,1248
br05_040.json,79.19,0.006,1148
br05_041.json,83.65,0.014,1188
br05_042.json,83.07,0.008,1148
br05_043.json,83.32,0.010,1184
br05_044.json,72.37,0.012,1148
br05_045.json,79.64,0.020,1248
br05_046.json,83.27,0.005,1108
br05_047.json,74.94,0.015,1240
br05_048.json,83.56,0.008,1156
br05_049.json,80.50,0.008,1124
br05_050.json,79.87,0.022,1288
br05_051.json,85.92,0.023,1368
br05_052.json,75.23,0.006,1164
br05_053.json,82.17,0.010,1148
br05_054.json,83.56,0.021,1304
br05_055.json,80.34,0.016,1216
br05_056.json,83.54,0.035,1364
br05_057.json,85.24,0.003,1180
br05_058.json,84.70,0.006,1152
br05_059.json,85.54,0.023,1264
br05_060.json,81.70,0.013,1216
br05_061.json,83.35,0.006,1120
br05_062.json,83.32,0.015,1200
br05_063.json,79.03,0.008,1108
br05_064.json,79.51,0.005,1164
br05_065.json,83.50,0.017,1208
br05_066.json,86.82,0.010,1180
br05_067.json,79.02,0.011,1160
br05_068.json,82.62,0.005,1168
br05_069.json,80.33,0.018,1236
br05_070.json,77.94,0.010,1184
br05_071.json,83.01,0.018,1160
br05_072.json,83.38,0.018,1212
br05_073.json,78.94,0.008,1116
br05_074.json,79.32,0.005,1152
br05_075.json,78.91,0.006,1140
br05_076.json,82.03,0.010,1168
br05_077.json,83.06,0.015,1292
br05_078.json,83.24,0.011,1216
br05_079.json,85.91,0.028,1304
br05_080.json,73.59,0.010,1228
br05_081.json,78.73,0.009,1088
br05_082.json,80.56,0.011,1212
br05_083.json,82.29,0.009,1124
br05_084.json,83.41,0.010,1232
br05_085.json,88.09,0.015,1200
br05_086.json,81.86,0.013,1228
br05_087.json,83.87,0.006,1132
br05_088.json,76.56,0.016,1312
br05_089.json,80.51,0.006,1100
br05_090.json,80.29,0.008,1196
br05_091.json,84.84,0.016,1184
br05_092.json,86.87,0.008,1160
br05_093.json,79.10,0.005,1080
br05_094.json,80.15,0.015,1200
br05_095.json,79.59,0.018,1268
br05_096.json,83.85,0.015,1316
br05_097.json,84.73,0.011,1164
br05_098.json,77.24,0.016,1188
br05_099.json,85.39,0.008,1200
br05_100.json,85.65,0.017,1200
br06_001.json,83.57,0.009,1216
br06_002.json,85.07,0.020,1288
br06_003.json,78.29,0.016,1160
br06_004.json,82.68,0.011,1244
br06_005.json,77.96,0.011,1192
br06_006.json,79.53,0.009,1224
br06_007.json,78.37,0.008,1152
br06_008.json,80.87,0.008,1176
br06_009.json,81.23,0.011,1116
br06_010.json,79.02,0.021,1268
br06_011.json,88.02,0.013,1240
br06_012.json,79.84,0.012,1200
br06_013.json,79.13,0.028,1232
br06_014.json,80.47,0.008,1288
br06_015.json,80.78,0.009,1088
br06_016.json,82.46,0.011,1208
br06_017.json,84.13,0.013,1108
br06_018.json,79.61,0.005,1140
br06_019.json,84.14,0.011,1176
br06_020.json,81.68,0.013,1244
br06_021.json,80.15,0.012,1176
br06_022.json,83.70,0.017,1188
br06_023.json,82.06,0.009,1152
br06_024.json,83.31,0.008,1204
br06_025.json,74.09,0.020,1132
br06_026.json,79.52,0.013,1324
br06_027.json,82.37,0.010,1172
br06_028.json,83.10,0.015,1276
br06_029.json,79.59,0.011,1104
br06_030.json,81.50,0.015,1216
br06_031.json,75.89,0.020,1236
br06_032.json,81.48,0.017,1232
br06_033.json,84.26,0.016,1160
br06_034.json,78.68,0.006,1172
br06_035.json,81.97,0.018,1176
br06_036.json,84.04,0.009,1204
br06_037.json,84.58,0.009,1104
br06_038.json,82.83,0.011,1196
br06_039.json,73.21,0.026,1252
br06_040.json,80.13,0.008,1188
br06_041.json,77.59,0.012,1080
br06_042.json,76.88,0.013,1276
br06_043.json,82.33,0.007,1120
br06_044.json,82.82,0.011,1276
br06_045.json,78.90,0.016,1240
br06_046.json,83.31,0.006,1196
br06_047.json,76.15,0.016,1212
br06_048.json,82.71,0.011,1208
br06_049.json,81.73,0.008,1104
br06_050.json,84.82,0.012,1268
br06_051.json,80.27,0.024,1264
br06_052.json,78.22,0.009,1220
br06_053.json,81.90,0.011,1156
br06_054.json,80.93,0.018,1336
br06_055.json,77.68,0.015,1176
br06_056.json,83.12,0.014,1256
br06_057.json,83.71,0.009,1128
br06_058.json,85.54,0.009,1188
br06_059.json,83.93,0.013,1120
br06_060.json,80.87,0.012,1212
br06_061.json,79.18,0.013,1084
br06_062.json,78.52,0.012,1184
br06_063.json,80.39,0.010,1112
br06_064.json,78.40,0.011,1200
br06_065.json,80.12,0.015,1168
br06_066.json,78.96,0.008,1200
br06_067.json,85.14,0.019,1220
br06_068.json,83.14,0.007,1164
br06_069.json,81.56,0.022,1280
br06_070.json,75.62,0.009,1176
br06_071.json,82.70,0.011,1140
br06_072.json,81.03,0.014,1196
br06_073.json,81.61,0.007,1132
br06_074.json,75.86,0.010,1152
br06_075.json,81.60,0.011,1144
br06_076.json,82.13,0.012,1156
br06_077.json,74.26,0.025,1216
br06_078.json,82.23,0.024,1336
br06_079.json,76.81,0.010,1184
br06_080.json,76.67,0.010,1228
br06_081.json,78.72,0.002,1108
br06_082.json,81.71,0.016,1256
br06_083.json,81.70,0.015,1108
br06_084.json,85.33,0.009,1252
br06_085.json,83.79,0.008,1136
br06_086.json,81.52,0.015,1204
br06_087.json,83.19,0.007,1116
br06_088.json,80.97,0.020,1360
br06_089.json,79.00,0.006,1120
br06_090.json,79.47,0.004,1136
br06_091.json,80.92,0.008,1188
br06_092.json,83.17,0.011,1208
br06_093.json,77.95,0.007,1064
br06_094.json,85.00,0.020,1280
br06_095.json,82.40,0.012,1248
br06_096.json,83.19,0.015,1232
br06_097.json,81.54,0.012,1172
br06_098.json,75.63,0.020,1248
br06_099.json,80.07,0.009,1136
br06_100.json,84.79,0.016,1224
br07_001.json,81.55,0.004,1144
br07_002.json,81.32,0.013,1188
br07_003.json,78.86,0.016,1164
br07_004.json,80.91,0.014,1280
br07_005.json,79.42,0.006,1180
br07_006.json,81.02,0.021,1232
br07_007.json,80.99,0.008,1168
br07_008.json,82.01,0.011,1240
br07_009.json,76.99,0.015,1160
br07_010.json,80.19,0.012,1236
br07_011.json,82.61,0.015,1232
br07_012.json,80.92,0.014,1244
br07_013.json,81.04,0.017,1308
br07_014.json,85.41,0.007,1252
br07_015.json,79.72,0.012,1124
br07_016.json,77.20,0.011,1232
br07_017.json,85.14,0.015,1176
br07_018.json,79.46,0.006,1200
br07_019.json,82.74,0.017,1164
br07_020.json,80.70,0.009,1244
br07_021.json,80.21,0.015,1168
br07_022.json,82.81,0.017,1264
br07_023.json,80.16,0.012,1204
br07_024.json,84.12,0.006,1216
br07_025.json,71.14,0.014,1152
br07_026.json,79.93,0.019,1344
br07_027.json,84.36,0.009,1160
br07_028.json,83.22,0.015,1348
br07_029.json,83.29,0.011,1156
br07_030.json,76.62,0.021,1272
br07_031.json,73.82,0.018,1144
br07_032.json,80.30,0.017,1276
br07_033.json,81.64,0.012,1176
br07_034.json,83.33,0.006,1232
br07_035.json,81.46,0.025,1168
br07_036.json,80.14,0.012,1244
br07_037.json,80.23,0.006,1140
br07_038.json,85.48,0.011,1272
br07_039.json,83.40,0.025,1180
br07_040.json,82.36,0.005,1220
br07_041.json,78.98,0.009,1100
br07_042.json,79.83,0.008,1216
br07_043.json,82.95,0.007,1116
br07_044.json,79.56,0.029,1288
br07_045.json,81.02,0.018,1208
br07_046.json,79.56,0.009,1160
br07_047.json,81.52,0.017,1216
br07_048.json,79.08,0.007,1224
br07_049.json,83.61,0.012,1172
br07_050.json,81.16,0.018,1252
br07_051.json,82.42,0.019,1268
br07_052.json,78.76,0.007,1220
br07_053.json,79.29,0.010,1164
br07_054.json,79.52,0.014,1176
br07_055.json,78.66,0.011,1116
br07_056.json,80.16,0.015,1232
br07_057.json,81.08,0.009,1160
br07_058.json,87.36,0.007,1212
br07_059.json,78.55,0.011,1160
br07_060.json,80.14,0.011,1224
br07_061.json,82.57,0.008,1112
br07_062.json,78.84,0.008,1212
br07_063.json,79.55,0.012,1140
br07_064.json,82.55,0.011,1164
br07_065.json,83.62,0.021,1192
br07_066.json,82.33,0.007,1224
br07_067.json,75.75,0.017,1160
br07_068.json,78.83,0.005,1176
br07_069.json,80.69,0.022,1236
br07_070.json,75.22,0.008,1204
br07_071.json,81.82,0.014,1156
br07_072.json,80.40,0.010,1224
br07_073.json,76.29,0.007,1152
br07_074.json,79.40,0.010,1208
