filename,volume_rate(%),duration(s),memory(KB)
br02_070.json,77.06,0.001,145
br02_071.json,80.83,0.001,145
br02_072.json,83.80,0.001,122
br02_073.json,77.10,0.002,155
br02_074.json,80.46,0.002,146
br02_075.json,81.67,0.003,177
br02_076.json,87.52,0.005,194
br02_077.json,82.75,0.006,203
br02_078.json,85.22,0.004,196
br02_079.json,82.05,0.006,206
br02_080.json,76.05,0.001,141
br02_081.json,81.05,0.001,120
br02_082.json,81.23,0.002,167
br02_083.json,77.43,0.002,159
br02_084.json,71.25,0.001,119
br02_085.json,83.30,0.004,208
br02_086.json,82.17,0.004,175
br02_087.json,83.91,0.001,131
br02_088.json,77.83,0.002,161
br02_089.json,73.39,0.001,130
br02_090.json,70.78,0.001,117
br02_091.json,87.74,0.004,179
br02_092.json,82.40,0.001,117
br02_093.json,80.79,0.001,120
br02_094.json,83.00,0.003,180
br02_095.json,82.35,0.002,167
br02_096.json,87.45,0.007,203
br02_097.json,88.09,0.004,178
br02_098.json,85.34,0.002,160
br02_099.json,89.79,0.004,184
br02_100.json,83.93,0.002,160
br03_001.json,78.43,0.001,128
br03_002.json,90.04,0.002,143
br03_003.json,83.30,0.002,166
br03_004.json,83.08,0.005,195
br03_005.json,81.66,0.001,141
br03_006.json,82.03,0.003,167
br03_007.json,79.83,0.003,167
br03_008.json,79.34,0.001,136
br03_009.json,79.09,0.002,160
br03_010.json,86.54,0.005,192
br03_011.json,84.09,0.001,146
br03_012.json,80.86,0.001,135
br03_013.json,86.89,0.005,204
br03_014.json,85.97,0.001,136
br03_015.json,85.45,0.001,135
br03_016.json,82.32,0.002,152
br03_017.json,82.97,0.001,123
br03_018.json,82.36,0.001,123
br03_019.json,87.95,0.004,189
br03_020.json,84.18,0.001,161
br03_021.json,82.30,0.001,128
br03_022.json,85.68,0.001,141
br03_023.json,81.55,0.001,157
br03_024.json,86.98,0.001,141
br03_025.json,77.02,0.002,161
br03_026.json,82.09,0.003,178
br03_027.json,85.87,0.001,147
br03_028.json,76.82,0.003,166
br03_029.json,80.45,0.006,201
br03_030.json,82.57,0.003,178
br03_031.json,77.53,0.002,161
br03_032.json,84.12,0.003,165
br03_033.json,87.32,0.001,158
br03_034.json,84.68,0.003,180
br03_035.json,83.96,0.003,170
br03_036.json,89.15,0.002,141
br03_037.json,87.89,0.001,141
br03_038.json,79.13,0.001,135
br03_039.json,84.81,0.011,227
br03_040.json,78.42,0.001,123
br03_041.json,84.69,0.001,149
br03_042.json,83.01,0.002,158
br03_043.json,83.32,0.001,127
br03_044.json,78.62,0.002,165
br03_045.json,86.08,0.002,169
br03_046.json,78.50,0.001,140
br03_047.json,81.98,0.003,169
br03_048.json,83.74,0.001,135
br03_049.json,84.42,0.001,137
br03_050.json,86.13,0.002,161
br03_051.json,80.55,0.003,181
br03_052.json,83.78,0.002,166
br03_053.json,80.83,0.001,133
br03_054.json,83.84,0.004,190
br03_055.json,78.22,0.003,174
br03_056.json,80.99,0.006,213
br03_057.json,83.91,0.002,145
br03_058.json,78.22,0.001,124
br03_059.json,78.24,0.008,216
br03_060.json,79.96,0.002,142
br03_061.json,84.54,0.001,126
